area_type,availability,location,total_sqft,bath,balcony,price,BHK,price_per_sqft,sqft_per_bhk
Super built-up  Area,17-Jun,Bellandur,1100.0,2.0,3.0,62.0,2,5636.364,550.0
Super built-up  Area,19-Sep,Kudlu Gate,1113.0,2.0,1.0,50.0,2,4492.363,556.5
Super built-up  Area,18-Dec,Old Airport Road,2774.0,4.0,3.0,208.0,4,7498.198,693.5
Built-up  Area,Ready To Move,Varthur,1210.0,2.0,1.0,60.0,2,4958.678,605.0
Super built-up  Area,Ready To Move,Kogilu,700.0,1.0,1.0,30.84,1,4405.714,700.0
Super built-up  Area,18-May,Kanakpura Road,1155.0,2.0,1.0,55.5,2,4805.195,577.5
Super built-up  Area,22-Jun,Hoodi,1132.0,2.0,1.0,89.0,2,7862.191,566.0
Super built-up  Area,18-Jan,Hennur Road,1359.0,2.0,2.0,104.0,2,7652.686,679.5
Super built-up  Area,Ready To Move,Byatarayanapura,2631.0,3.0,2.0,200.0,4,7601.672,657.75
Super built-up  Area,Ready To Move,Kothanur,1145.0,2.0,2.0,56.0,2,4890.83,572.5
Built-up  Area,Ready To Move,5th Phase JP Nagar,600.0,1.0,1.0,30.0,1,5000.0,600.0
Plot  Area,Ready To Move,Laggere,1200.0,1.0,1.0,125.0,1,10416.667,1200.0
Built-up  Area,Ready To Move,Mahalakshmi Puram,830.0,2.0,1.0,60.0,2,7228.916,415.0
Super built-up  Area,Ready To Move,HSR Layout,1009.0,2.0,2.0,56.0,2,5550.05,504.5
Super built-up  Area,Ready To Move,Basavangudi,1800.0,3.0,2.0,195.0,3,10833.333,600.0
Super built-up  Area,Ready To Move,Yelahanka,1226.0,2.0,2.0,52.71,2,4299.347,613.0
Super built-up  Area,Ready To Move,Badrappa Layout,1500.0,2.0,2.0,88.0,2,5866.667,750.0
Super built-up  Area,Ready To Move,Electronic City,1363.0,2.0,1.0,79.0,2,5796.038,681.5
Built-up  Area,Ready To Move,Poorna Pragna Layout,1400.0,2.0,1.0,240.0,3,17142.857,466.667
Built-up  Area,18-Dec,Bommasandra Industrial Area,1165.0,2.0,1.0,33.64,2,2887.554,582.5
Built-up  Area,Ready To Move,HSR Layout,2792.0,4.0,1.0,220.0,4,7879.656,698.0
Built-up  Area,Ready To Move,Kammanahalli,700.0,1.0,0.0,59.0,1,8428.571,700.0
Super built-up  Area,Ready To Move,Kaval Byrasandra,1060.0,2.0,2.0,42.0,2,3962.264,530.0
Built-up  Area,Ready To Move,Marathahalli,1200.0,2.0,1.0,67.0,2,5583.333,600.0
Built-up  Area,18-Dec,"Off Sarjapur Road, ",1518.0,3.0,2.0,76.0,3,5006.588,506.0
Built-up  Area,Ready To Move,Nagappa Reddy Layout,1495.0,2.0,2.0,75.0,3,5016.722,498.333
Built-up  Area,Ready To Move,Sanjay nagar,1575.0,2.0,2.0,90.0,2,5714.286,787.5
Built-up  Area,Ready To Move,Rajaji Nagar,1440.0,2.0,2.0,170.0,2,11805.556,720.0
Super built-up  Area,18-Dec,Kasavanhalli,1545.0,3.0,1.0,69.0,3,4466.019,515.0
Built-up  Area,Ready To Move,Kengeri,1470.0,3.0,3.0,50.0,3,3401.361,490.0
Super built-up  Area,Ready To Move,Cooke Town,1500.0,3.0,3.0,95.0,3,6333.333,500.0
Built-up  Area,Ready To Move,BTM Layout,1450.0,2.0,2.0,81.0,3,5586.207,483.333
Super built-up  Area,Ready To Move,Hosur Road,1179.0,2.0,1.0,49.0,2,4156.064,589.5
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1650.0,3.0,2.0,110.0,3,6666.667,550.0
Super built-up  Area,Ready To Move,Chandapura,1095.0,2.0,2.0,32.0,3,2922.374,365.0
Built-up  Area,18-Jan,Lal Bahadur Shastri Nagar,856.0,2.0,1.0,48.0,2,5607.477,428.0
Super built-up  Area,Ready To Move,Naganathapura,1143.0,2.0,1.0,62.0,2,5424.322,571.5
Super built-up  Area,Ready To Move,Hebbal,1349.0,2.0,1.0,97.8,2,7249.815,674.5
Built-up  Area,Ready To Move,Anjanapura,1280.0,2.0,2.0,45.0,3,3515.625,426.667
Super built-up  Area,Ready To Move,Malleshwaram,480.0,1.0,1.0,60.0,1,12500.0,480.0
Super built-up  Area,18-Dec,Whitefield,1216.0,2.0,1.0,69.06,2,5679.276,608.0
Super built-up  Area,Ready To Move,Malleshwaram,1290.0,2.0,1.0,120.0,2,9302.326,645.0
Plot  Area,Ready To Move,Banjara Layout,1200.0,5.0,2.0,96.0,5,8000.0,240.0
Super built-up  Area,Ready To Move,Electronic City,1156.0,2.0,2.0,42.0,2,3633.218,578.0
Super built-up  Area,Ready To Move,Thanisandra,1230.0,2.0,2.0,44.0,2,3577.236,615.0
Super built-up  Area,Ready To Move,Volagerekallahalli,1070.0,2.0,2.0,33.15,2,3098.131,535.0
Super built-up  Area,18-Aug,Ramagondanahalli,1235.0,2.0,1.0,49.3,2,3991.903,617.5
Built-up  Area,Ready To Move,6th block Koramangala,1117.0,2.0,1.0,110.0,2,9847.807,558.5
Super built-up  Area,Ready To Move,Kundalahalli,1724.0,3.0,2.0,124.0,3,7192.575,574.667
Plot  Area,Ready To Move,Jalahalli,1200.0,4.0,0.0,90.0,4,7500.0,300.0
Super built-up  Area,Ready To Move,Venkatadri Layout,600.0,1.0,1.0,43.0,1,7166.667,600.0
Super built-up  Area,Ready To Move,KR Puram,1930.0,2.0,2.0,57.9,3,3000.0,643.333
Super built-up  Area,18-Dec,Whitefield,1216.0,2.0,1.0,75.0,2,6167.763,608.0
Built-up  Area,Ready To Move,KR Puram,1452.0,3.0,3.0,60.0,3,4132.231,484.0
Super built-up  Area,Ready To Move,Whitefield,1355.0,2.0,3.0,78.0,2,5756.458,677.5
Built-up  Area,Ready To Move,HMT Layout,7500.0,4.0,2.0,425.0,4,5666.667,1875.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2145.0,3.0,3.0,190.0,3,8857.809,715.0
Super built-up  Area,Ready To Move,Bommanahalli,957.0,2.0,1.0,53.0,2,5538.14,478.5
Built-up  Area,Ready To Move,Shantiniketan Layout,925.0,2.0,2.0,48.0,2,5189.189,462.5
Super built-up  Area,Ready To Move,Bellandur,1550.0,2.0,3.0,59.0,2,3806.452,775.0
Plot  Area,Ready To Move,Yelahanka New Town,4000.0,2.0,1.0,899.0,4,22475.0,1000.0
Plot  Area,20-Jul,Kanakpura Road,2100.0,3.0,2.0,140.0,3,6666.667,700.0
Super built-up  Area,21-Dec,Bannerghatta Road,1115.0,2.0,1.0,61.0,2,5470.852,557.5
Super built-up  Area,Ready To Move,Yelahanka,1692.0,3.0,2.0,83.0,3,4905.437,564.0
Super built-up  Area,Ready To Move,Baba Nagar,1100.0,2.0,2.0,52.0,2,4727.273,550.0
Super built-up  Area,Ready To Move,Hormavu,1385.0,2.0,2.0,69.0,3,4981.949,461.667
Super built-up  Area,Ready To Move,Hosa Road,760.0,1.0,1.0,24.9,1,3276.316,760.0
Super built-up  Area,19-Dec,Electronics City Phase 1,1335.0,2.0,2.0,67.0,2,5018.727,667.5
Super built-up  Area,Ready To Move,Bommanahalli,910.0,2.0,1.0,45.0,2,4945.055,455.0
Super built-up  Area,Ready To Move,Kanakpura Road,1610.0,2.0,2.0,55.0,3,3416.149,536.667
Super built-up  Area,19-Mar,Hennur Road,1341.0,2.0,1.0,75.76,2,5649.515,670.5
Plot  Area,Ready To Move,Kurubarahalli,1200.0,3.0,0.0,70.0,3,5833.333,400.0
Super built-up  Area,Ready To Move,Uttarahalli,1285.0,2.0,2.0,44.98,3,3500.389,428.333
Super built-up  Area,Ready To Move,HAL 2nd Stage,2100.0,3.0,2.0,252.0,3,12000.0,700.0
Super built-up  Area,Ready To Move,Yeshwanthpur,1679.0,3.0,2.0,92.13,3,5487.195,559.667
Built-up  Area,Ready To Move,Puttappa Layout,2675.0,4.0,2.0,290.0,4,10841.121,668.75
Built-up  Area,Ready To Move,"Ananthanagar Phase 1,Electronic City , phase 2",1016.0,2.0,1.0,45.9,2,4517.717,508.0
Built-up  Area,Ready To Move,Banashankari Stage II,1500.0,2.0,0.0,650.0,4,43333.333,375.0
Plot  Area,Ready To Move,Palace Guttahalli,660.0,2.0,1.0,100.0,3,15151.515,220.0
Super built-up  Area,Ready To Move,Rajaji Nagar,2448.0,3.0,2.0,400.0,3,16339.869,816.0
Super built-up  Area,18-Jul,8th Phase JP Nagar,500.0,1.0,1.0,31.0,1,6200.0,500.0
Super built-up  Area,Ready To Move,Ngef Layout,1800.0,3.0,2.0,88.0,3,4888.889,600.0
Super built-up  Area,Ready To Move,Whitefield,1255.0,2.0,3.0,77.0,2,6135.458,627.5
Super built-up  Area,18-Dec,Hennur Road,1040.0,2.0,2.0,50.0,2,4807.692,520.0
Super built-up  Area,Ready To Move,Kattigenahalli,1062.0,2.0,2.0,47.0,2,4425.612,531.0
Super built-up  Area,19-Dec,Varthur Road,805.5,2.0,0.0,19.33,2,2399.752,402.75
Super built-up  Area,Ready To Move,Hosur Road,950.0,2.0,1.0,60.0,2,6315.789,475.0
Super built-up  Area,18-May,Whitefield,1216.0,2.0,1.0,73.0,2,6003.289,608.0
Super built-up  Area,Ready To Move,HSR Layout,1300.0,2.0,2.0,98.0,2,7538.462,650.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,1390.0,2.0,2.0,65.0,2,4676.259,695.0
Super built-up  Area,19-Jul,Yelahanka,1033.0,2.0,1.0,52.58,2,5090.029,516.5
Super built-up  Area,19-Dec,Yelahanka,1390.0,2.0,2.0,65.31,2,4698.561,695.0
Super built-up  Area,Ready To Move,Jalahalli,1020.0,2.0,1.0,52.0,2,5098.039,510.0
Super built-up  Area,19-Dec,Whitefield,709.0,1.0,0.0,34.735,1,4899.154,709.0
Super built-up  Area,18-Oct,Whitefield,1140.0,2.0,2.0,45.0,2,3947.368,570.0
Super built-up  Area,Ready To Move,Yeshwanthpur,670.0,1.0,1.0,36.85,1,5500.0,670.0
Super built-up  Area,18-Jul,Bhoganhalli,2171.0,4.0,2.0,111.0,4,5112.851,542.75
Super built-up  Area,Ready To Move,Bannerghatta Road,1136.0,2.0,1.0,48.0,2,4225.352,568.0
Built-up  Area,Ready To Move,Doddakannelli,1477.0,2.0,2.0,80.0,3,5416.385,492.333
Super built-up  Area,Ready To Move,KR Puram,1001.0,2.0,2.0,30.0,2,2997.003,500.5
Super built-up  Area,19-Dec,Yelahanka,1040.0,2.0,1.0,48.86,2,4698.077,520.0
Super built-up  Area,Ready To Move,Garudachar Palya,1060.0,2.0,1.0,48.5,2,4575.472,530.0
Super built-up  Area,Ready To Move,Sarjapur,1240.0,2.0,1.0,44.3,2,3572.581,620.0
Super built-up  Area,Ready To Move,Byadarahalli,3500.0,5.0,2.0,450.0,4,12857.143,875.0
Super built-up  Area,Ready To Move,Doddabommasandra,42000.0,8.0,3.0,175.0,9,416.667,4666.667
Super built-up  Area,20-Dec,Varthur,1070.0,2.0,2.0,46.0,2,4299.065,535.0
Built-up  Area,Ready To Move,Electronic City Phase II,1253.0,2.0,1.0,65.8,2,5251.397,626.5
Super built-up  Area,Ready To Move,Whitefield,1190.0,2.0,2.0,60.0,2,5042.017,595.0
Super built-up  Area,Ready To Move,Whitefield,1312.0,2.0,2.0,55.0,2,4192.073,656.0
Built-up  Area,Ready To Move,KR Puram,750.0,2.0,0.0,40.0,2,5333.333,375.0
Built-up  Area,Ready To Move,Koramangala,1615.0,3.0,2.0,115.0,3,7120.743,538.333
Built-up  Area,Ready To Move,Marathahalli,1095.0,2.0,1.0,60.0,2,5479.452,547.5
Super built-up  Area,Ready To Move,Whitefield,1745.0,3.0,3.0,100.0,3,5730.659,581.667
Super built-up  Area,Ready To Move,Rachenahalli,1050.0,2.0,2.0,52.5,2,5000.0,525.0
Plot  Area,Ready To Move,4th T block Jayanagar,2080.0,4.0,2.0,440.0,4,21153.846,520.0
Super built-up  Area,Ready To Move,Thanisandra,1220.0,2.0,1.0,44.6,2,3655.738,610.0
Super built-up  Area,Ready To Move,Kempegowda Nagar,1793.0,3.0,2.0,98.0,3,5465.7,597.667
Super built-up  Area,Ready To Move,Uttarahalli,1100.0,1.0,2.0,45.0,2,4090.909,550.0
Super built-up  Area,Ready To Move,Yelahanka New Town,1385.0,2.0,3.0,65.0,2,4693.141,692.5
Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,45.0,2,3750.0,600.0
Super built-up  Area,Ready To Move,Haralur Road,2017.0,2.0,2.0,125.0,3,6197.323,672.333
Super built-up  Area,Ready To Move,Attibele,400.0,1.0,1.0,10.0,1,2500.0,400.0
Super built-up  Area,18-Apr,Bellandur,1400.0,2.0,2.0,44.81,3,3200.714,466.667
Super built-up  Area,Ready To Move,Bethel Nagar,960.0,2.0,1.0,33.0,2,3437.5,480.0
Super built-up  Area,Ready To Move,Uttarahalli,1125.0,2.0,1.0,47.0,2,4177.778,562.5
Super built-up  Area,Ready To Move,Akshaya Nagar,1551.0,2.0,2.0,60.0,3,3868.472,517.0
Plot  Area,Ready To Move,BTM Layout,600.0,4.0,2.0,122.0,4,20333.333,150.0
Built-up  Area,18-Apr,Whitefield,3200.0,4.0,3.0,224.0,4,7000.0,800.0
Super built-up  Area,Ready To Move,Marathahalli,1060.0,2.0,1.0,48.0,2,4528.302,530.0
Super built-up  Area,Ready To Move,Bharathi Nagar,1384.0,2.0,2.0,59.0,2,4263.006,692.0
Super built-up  Area,Ready To Move,Byagadadhenahalli,620.0,2.0,1.0,23.0,2,3709.677,310.0
Super built-up  Area,18-Jun,Bommasandra,1005.0,2.0,1.0,39.77,2,3957.214,502.5
Plot  Area,Ready To Move,Sarakki Nagar,1200.0,3.0,2.0,128.0,3,10666.667,400.0
Built-up  Area,Ready To Move,Kirloskar Layout,1400.0,3.0,2.0,35.0,3,2500.0,466.667
Super built-up  Area,Ready To Move,HSR Layout,2400.0,3.0,3.0,88.0,3,3666.667,800.0
Super built-up  Area,Ready To Move,Whitefield,1096.0,2.0,1.0,39.0,2,3558.394,548.0
Super built-up  Area,Ready To Move,Kaggadasapura,1180.0,1.0,0.0,50.0,2,4237.288,590.0
Super built-up  Area,Ready To Move,Uttarahalli,1300.0,2.0,1.0,47.0,3,3615.385,433.333
Plot  Area,18-Apr,tc.palya,1020.0,2.0,1.0,62.0,2,6078.431,510.0
Plot  Area,Ready To Move,Margondanahalli,600.0,2.0,0.0,35.0,2,5833.333,300.0
Super built-up  Area,Ready To Move,Dollar Scheme Colony,3563.0,6.0,1.0,310.0,4,8700.533,890.75
Super built-up  Area,Ready To Move,Konanakunte Cross,1165.0,2.0,2.0,47.0,2,4034.335,582.5
Super built-up  Area,18-Mar,Bellandur,1685.0,3.0,3.0,100.0,3,5934.718,561.667
Super built-up  Area,Ready To Move,Balagere,1210.0,2.0,1.0,83.0,2,6859.504,605.0
Super built-up  Area,Ready To Move,Kammasandra,1030.0,1.0,2.0,25.75,2,2500.0,515.0
Built-up  Area,Ready To Move,Nagappa Reddy Layout,1100.0,2.0,2.0,43.5,2,3954.545,550.0
Super built-up  Area,20-Dec,Jakkur,1482.0,3.0,2.0,86.0,3,5802.969,494.0
Super built-up  Area,Ready To Move,Hebbal,1344.0,2.0,1.0,108.0,2,8035.714,672.0
Super built-up  Area,18-Jun,Kothannur,1275.0,2.0,2.0,39.8,3,3121.569,425.0
Plot  Area,Ready To Move,Vidyaranyapura,462.0,3.0,2.0,38.0,3,8225.108,154.0
Super built-up  Area,Ready To Move,Omarbagh Layout,3300.0,5.0,3.0,318.0,4,9636.364,825.0
Super built-up  Area,Ready To Move,Panathur,1210.0,2.0,2.0,85.0,2,7024.793,605.0
Super built-up  Area,19-Jun,Hebbal,1320.0,3.0,3.0,226.0,3,17121.212,440.0
Super built-up  Area,19-Mar,Hosa Road,1532.0,3.0,2.0,98.13,3,6405.352,510.667
Super built-up  Area,Ready To Move,JP Nagar,1245.0,2.0,2.0,110.0,2,8835.341,622.5
Super built-up  Area,Ready To Move,Nagarbhavi,1212.0,2.0,2.0,50.0,2,4125.413,606.0
Super built-up  Area,18-Oct,Sarjapur  Road,1230.0,2.0,1.0,65.0,2,5284.553,615.0
Plot  Area,Ready To Move,Indira Nagar,1000.0,5.0,2.0,180.0,5,18000.0,200.0
Super built-up  Area,Ready To Move,Ramagondanahalli,2257.0,3.0,2.0,159.0,3,7044.75,752.333
Super built-up  Area,Ready To Move,Vittasandra,1246.0,2.0,1.0,65.4,2,5248.796,623.0
Super built-up  Area,Ready To Move,Gunjur,1080.0,2.0,2.0,41.0,2,3796.296,540.0
Plot  Area,Ready To Move,Kannur,1280.0,6.0,3.0,75.0,6,5859.375,213.333
Super built-up  Area,Ready To Move,Varthur,1360.0,2.0,3.0,85.0,3,6250.0,453.333
Super built-up  Area,Ready To Move,Yelenahalli,1260.0,2.0,2.0,47.88,2,3800.0,630.0
Built-up  Area,Ready To Move,Kengeri Satellite Town,1200.0,3.0,0.0,110.0,4,9166.667,300.0
Plot  Area,Ready To Move,anjananager magdi road,1200.0,3.0,1.0,165.0,3,13750.0,400.0
Super built-up  Area,Ready To Move,Kasavanhalli,950.0,2.0,1.0,39.0,2,4105.263,475.0
Super built-up  Area,Ready To Move,Nagarbhavi,1020.0,2.0,2.0,55.0,2,5392.157,510.0
Super built-up  Area,18-May,Electronic City Phase II,1400.0,2.0,2.0,40.44,3,2888.571,466.667
Plot  Area,Ready To Move,Kodipalya,1440.0,4.0,0.0,88.0,4,6111.111,360.0
Built-up  Area,Ready To Move,Huskur,800.0,6.0,2.0,75.0,6,9375.0,133.333
Super built-up  Area,18-Sep,KR Puram,1462.5,2.0,2.0,62.81,3,4294.701,487.5
Super built-up  Area,18-May,Electronics City Phase 1,1175.0,2.0,1.0,69.0,2,5872.34,587.5
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1185.0,2.0,1.0,40.17,2,3389.873,592.5
Super built-up  Area,Ready To Move,Aishwarya Crystal Layout,2250.0,3.0,1.0,113.0,3,5022.222,750.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1178.0,2.0,2.0,40.43,2,3432.088,589.0
Super built-up  Area,Ready To Move,Ulsoor,36000.0,4.0,2.0,450.0,4,1250.0,9000.0
Super built-up  Area,Ready To Move,Whitefield,825.0,1.0,1.0,44.9,1,5442.424,825.0
Super built-up  Area,18-May,Madiwala,1250.0,3.0,2.0,43.0,3,3440.0,416.667
Super built-up  Area,Ready To Move,Electronics City Phase 1,1113.12,2.0,2.0,55.0,2,4941.067,556.56
Super built-up  Area,Ready To Move,2nd Block Jayanagar,1718.0,3.0,3.0,223.0,3,12980.21,572.667
Super built-up  Area,Ready To Move,Gottigere,1010.0,2.0,1.0,35.0,2,3465.347,505.0
Plot  Area,Ready To Move,Syndicate Bank Colony,1500.0,4.0,3.0,240.0,4,16000.0,375.0
Plot  Area,Ready To Move,Rayasandra,540.0,1.0,1.0,16.5,1,3055.556,540.0
Super built-up  Area,18-May,Electronic City,1020.0,2.0,2.0,29.46,2,2888.235,510.0
Super built-up  Area,18-Jun,Hosur Road,1194.0,2.0,1.0,71.64,2,6000.0,597.0
Plot  Area,Ready To Move,Vijayanagar,1470.0,6.0,2.0,300.0,8,20408.163,183.75
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,600.0,4.0,2.0,100.0,3,16666.667,200.0
Super built-up  Area,Ready To Move,Electronic City,1108.0,2.0,1.0,67.15,2,6060.469,554.0
Built-up  Area,Ready To Move,Hebbal,3895.0,2.0,1.0,451.0,4,11578.947,973.75
Super built-up  Area,21-Jan,Kanakpura Road,700.0,2.0,1.0,34.99,2,4998.571,350.0
Super built-up  Area,Ready To Move,Somasundara Palya,1600.0,3.0,3.0,68.0,3,4250.0,533.333
Super built-up  Area,Ready To Move,Nagarbhavi,1850.0,3.0,2.0,90.0,3,4864.865,616.667
Super built-up  Area,Ready To Move,Tumkur Road,1250.0,2.0,2.0,33.0,2,2640.0,625.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,600.0,1.0,1.0,43.0,1,7166.667,600.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1140.0,2.0,1.0,49.27,2,4321.93,570.0
Super built-up  Area,Ready To Move,CQAL Layout,1200.0,2.0,2.0,75.0,3,6250.0,400.0
Super built-up  Area,Ready To Move,Nayandanahalli,985.0,2.0,1.0,55.0,2,5583.756,492.5
Super built-up  Area,Ready To Move,Bellandur,982.0,2.0,2.0,55.0,2,5600.815,491.0
Built-up  Area,Ready To Move,9th Phase JP Nagar,600.0,1.0,0.0,20.0,1,3333.333,600.0
Super built-up  Area,Ready To Move,Old Madras Road,2640.0,5.0,1.0,142.0,3,5378.788,880.0
Super built-up  Area,Ready To Move,Akshaya Nagar,1314.0,2.0,2.0,68.8,2,5235.921,657.0
Super built-up  Area,Ready To Move,Vijaya Bank Layout,1700.0,2.0,2.0,68.5,3,4029.412,566.667
Super built-up  Area,18-May,1st Phase JP Nagar,1077.0,2.0,2.0,93.0,2,8635.097,538.5
Built-up  Area,Ready To Move,Chandapura,1891.0,2.0,2.0,66.165,4,3498.942,472.75
Super built-up  Area,Ready To Move,Varanasi,2000.0,4.0,1.0,99.0,5,4950.0,400.0
Super built-up  Area,Ready To Move,DUO Layout,1643.0,3.0,2.0,75.0,3,4564.82,547.667
Plot  Area,Ready To Move,Kengeri,1200.0,3.0,1.0,67.0,3,5583.333,400.0
Super built-up  Area,Ready To Move,Abbigere,1020.0,2.0,1.0,41.82,2,4100.0,510.0
Built-up  Area,Ready To Move,Vittasandra,621.0,7.0,2.0,64.0,7,10305.958,88.714
Built-up  Area,Ready To Move,Daadys Gaarden Layout,1740.0,3.0,2.0,55.0,3,3160.92,580.0
Super built-up  Area,18-May,GM Palaya,1225.0,2.0,2.0,47.0,2,3836.735,612.5
Built-up  Area,Ready To Move,Thanisandra,1241.0,2.0,1.0,61.0,3,4915.391,413.667
Super built-up  Area,Ready To Move,Hennur,1041.0,2.0,2.0,40.6,2,3900.096,520.5
Super built-up  Area,Ready To Move,Bommanahalli,1050.0,2.0,2.0,46.0,2,4380.952,525.0
Super built-up  Area,18-Mar,Srinivas Colony,4400.0,3.0,1.0,901.0,3,20477.273,1466.667
Super built-up  Area,21-May,Kanakpura Road,1309.0,2.0,3.0,64.39,2,4919.022,654.5
Super built-up  Area,Ready To Move,Dodda Nekkundi,1128.0,2.0,2.0,45.0,2,3989.362,564.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1430.0,2.0,1.0,50.0,3,3496.503,476.667
Super built-up  Area,19-Dec,Old Madras Road,1065.0,2.0,1.0,47.86,2,4493.897,532.5
Super built-up  Area,Ready To Move,OMBR Layout,1085.0,2.0,1.0,64.0,2,5898.618,542.5
Plot  Area,Ready To Move,Vishveshwarya Layout,750.0,1.0,1.0,30.0,1,4000.0,750.0
Super built-up  Area,Ready To Move,Bellandur,981.0,2.0,2.0,37.28,2,3800.204,490.5
Carpet  Area,18-Dec,Bhoganhalli,1548.3,4.0,1.0,129.0,4,8331.719,387.075
Super built-up  Area,Ready To Move,Hebbal Kempapura,2302.0,4.0,2.0,300.0,4,13032.146,575.5
Built-up  Area,Ready To Move,Kalyan nagar,1410.0,2.0,2.0,60.0,3,4255.319,470.0
Super built-up  Area,19-Mar,Hosa Road,1525.84,3.0,1.0,117.0,3,7667.908,508.613
Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,42.6,2,3550.0,600.0
Built-up  Area,Ready To Move,Sampangi Rama Nagar,1030.0,2.0,2.0,80.0,2,7766.99,515.0
Super built-up  Area,Ready To Move,BTM 1st Stage,1852.0,2.0,2.0,95.0,3,5129.59,617.333
Built-up  Area,18-Dec,Electronic City,1160.0,2.0,1.0,33.5,2,2887.931,580.0
Built-up  Area,Ready To Move,Jigani,918.0,2.0,1.0,49.0,2,5337.691,459.0
Plot  Area,Ready To Move,HRBR Layout,1200.0,6.0,3.0,250.0,6,20833.333,200.0
Built-up  Area,Ready To Move,JP Nagar,1150.0,2.0,2.0,49.9,3,4339.13,383.333
Super built-up  Area,Ready To Move,Indira Nagar,2700.0,3.0,2.0,324.0,3,12000.0,900.0
Built-up  Area,18-Mar,Moodalapalya,1150.0,2.0,2.0,69.0,2,6000.0,575.0
Super built-up  Area,Ready To Move,Whitefield,1227.0,2.0,2.0,53.49,2,4359.413,613.5
Super built-up  Area,18-Dec,Hebbal,1255.0,3.0,2.0,77.68,3,6189.641,418.333
Plot  Area,Ready To Move,Moodalapalya,840.0,8.0,0.0,120.0,6,14285.714,140.0
Super built-up  Area,Ready To Move,Panathur,1198.0,2.0,1.0,82.0,2,6844.741,599.0
Plot  Area,Ready To Move, Devarachikkanahalli,1200.0,3.0,1.0,160.0,3,13333.333,400.0
Built-up  Area,Ready To Move,Frazer Town,1280.0,3.0,1.0,180.0,3,14062.5,426.667
Built-up  Area,Ready To Move,Nelamangala,2600.0,3.0,1.0,95.0,4,3653.846,650.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,797.0,2.0,1.0,32.0,2,4015.056,398.5
Built-up  Area,Ready To Move,Nayandanahalli,1350.0,2.0,3.0,68.0,3,5037.037,450.0
Built-up  Area,Ready To Move,Sahakara Nagar,2500.0,4.0,2.0,200.0,4,8000.0,625.0
Super built-up  Area,Ready To Move,Thigalarapalya,2215.0,4.0,2.0,160.0,3,7223.476,738.333
Super built-up  Area,21-Dec,Kanakpura Road,525.0,1.0,1.0,30.0,1,5714.286,525.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2700.0,4.0,3.0,260.0,4,9629.63,675.0
Super built-up  Area,Ready To Move,Gokaula Extension,1500.0,2.0,1.0,90.0,3,6000.0,500.0
Plot  Area,Ready To Move,Subash Nagar,900.0,2.0,0.0,55.0,2,6111.111,450.0
Super built-up  Area,Ready To Move,Poorna Pragna Layout,1355.0,2.0,3.0,58.27,3,4300.369,451.667
Super built-up  Area,Ready To Move,Kudlu Gate,1465.0,2.0,2.0,49.81,3,3400.0,488.333
Plot  Area,Ready To Move,Ramamurthy Nagar,1006.0,2.0,1.0,57.0,2,5666.004,503.0
Built-up  Area,Ready To Move,Vishveshwarya Layout,2000.0,4.0,1.0,75.0,4,3750.0,500.0
Super built-up  Area,18-Aug,Electronic City,1128.0,2.0,1.0,65.7,2,5824.468,564.0
Built-up  Area,Ready To Move,Pattanagere,850.0,2.0,0.0,35.0,2,4117.647,425.0
Super built-up  Area,Ready To Move,ISRO Layout,1310.0,2.0,3.0,68.0,3,5190.84,436.667
Super built-up  Area,Ready To Move,Banashankari,1390.0,2.0,2.0,86.0,2,6187.05,695.0
Super built-up  Area,Ready To Move,Kathriguppe,1390.0,2.0,2.0,76.45,3,5500.0,463.333
Plot  Area,Ready To Move,Marathahalli,2396.0,4.0,2.0,325.0,4,13564.274,599.0
Super built-up  Area,Ready To Move,Electronic City,1170.0,2.0,1.0,33.0,2,2820.513,585.0
Super built-up  Area,Ready To Move,Gottigere,1385.0,2.0,2.0,50.0,3,3610.108,461.667
Super built-up  Area,Ready To Move,Old Madras Road,1160.0,2.0,1.0,42.0,2,3620.69,580.0
Super built-up  Area,18-May,Electronic City Phase II,1160.0,2.0,1.0,33.5,2,2887.931,580.0
Super built-up  Area,Ready To Move,Bannerghatta Road,1200.0,2.0,2.0,69.0,3,5750.0,400.0
Super built-up  Area,Ready To Move,Mahadevpura,1475.0,2.0,2.0,55.0,2,3728.814,737.5
Built-up  Area,20-Jul,Sarjapur  Road,1939.0,3.0,0.0,98.0,3,5054.152,646.333
Built-up  Area,Ready To Move,7th Phase JP Nagar,850.0,2.0,2.0,42.0,2,4941.176,425.0
Built-up  Area,17-May,Balagere,675.0,1.0,1.0,45.0,1,6666.667,675.0
Built-up  Area,Ready To Move,Electronic City,1060.0,2.0,1.0,51.0,2,4811.321,530.0
